Continuing from checkpoint: C:/GitHub/HumanoidRobot/simulation/training/pick_place/runs/pp_v18/checkpoints/ckpt_800000.zip
Logging to C:\GitHub\HumanoidRobot\simulation\training\pick_place\runs\pp_v19\logs\pp_v19_1
---------------------------------
| rollout/           |          |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.47       |
|    explained_variance   | 0.989       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.421       |
|    n_updates            | 21760       |
|    policy_gradient_loss | -0.00146    |
|    std                  | 0.499       |
|    value_loss           | 4.57        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 85.6        |
|    ep_rew_mean          | 1.8         |
| time/                   |             |
|    fps                  | 1034        |
|    iterations           | 10          |
|    time_elapsed         | 79          |
|    total_timesteps      | 81920       |
| train/                  |             |
|    approx_kl            | 0.017758463 |
|    clip_fraction        | 0.162       |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.47       |
|    explained_variance   | 0.985       |
|    learning_rate        | 0.0003      |
|    loss                 | 1.55        |
|    n_updates            | 21770       |
|    policy_gradient_loss | -0.00285    |
|    std                  | 0.496       |
|    value_loss           | 3.91        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 73.7        |
|    ep_rew_mean          | 5.64        |
| time/                   |             |
|    fps                  | 1025        |
|    iterations           | 11          |
|    time_elapsed         | 87          |
|    total_timesteps      | 90112       |
| train/                  |             |
|    approx_kl            | 0.029056083 |
|    clip_fraction        | 0.275       |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.44       |
|    explained_variance   | 0.993       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.78        |
|    n_updates            | 21780       |
|    policy_gradient_loss | -0.000716   |
|    std                  | 0.493       |
|    value_loss           | 3.36        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 80.1        |
|    ep_rew_mean          | 4.53        |
| time/                   |             |
|    fps                  | 1020        |
|    iterations           | 12          |
|    time_elapsed         | 96          |
|    total_timesteps      | 98304       |
| train/                  |             |
|    approx_kl            | 0.034086227 |
|    clip_fraction        | 0.266       |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.44       |
|    explained_variance   | 0.99        |
|    learning_rate        | 0.0003      |
|    loss                 | 0.826       |
|    n_updates            | 21790       |
|    policy_gradient_loss | -0.00234    |
|    std                  | 0.495       |
|    value_loss           | 5.41        |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 120        |
|    ep_rew_mean          | -15.6      |
| time/                   |            |
|    fps                  | 1012       |
|    iterations           | 13         |
|    time_elapsed         | 105        |
|    total_timesteps      | 106496     |
| train/                  |            |
|    approx_kl            | 0.02447683 |
|    clip_fraction        | 0.234      |
|    clip_range           | 0.2        |
|    entropy_loss         | -2.44      |
|    explained_variance   | 0.983      |
|    learning_rate        | 0.0003     |
|    loss                 | 0.999      |
|    n_updates            | 21800      |
|    policy_gradient_loss | -0.00406   |
|    std                  | 0.493      |
|    value_loss           | 5.89       |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 86.2        |
|    ep_rew_mean          | 1.39        |
| time/                   |             |
|    fps                  | 1010        |
|    iterations           | 14          |
|    time_elapsed         | 113         |
|    total_timesteps      | 114688      |
| train/                  |             |
|    approx_kl            | 0.025075587 |
|    clip_fraction        | 0.238       |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.42       |
|    explained_variance   | 0.995       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.172       |
|    n_updates            | 21810       |
|    policy_gradient_loss | -0.000109   |
|    std                  | 0.491       |
|    value_loss           | 1.35        |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 80.2       |
|    ep_rew_mean          | 9.22       |
| time/                   |            |
|    fps                  | 1004       |
|    iterations           | 15         |
|    time_elapsed         | 122        |
|    total_timesteps      | 122880     |
| train/                  |            |
|    approx_kl            | 0.03090091 |
|    clip_fraction        | 0.281      |
|    clip_range           | 0.2        |
|    entropy_loss         | -2.41      |
|    explained_variance   | 0.994      |
|    learning_rate        | 0.0003     |
|    loss                 | 0.369      |
|    n_updates            | 21820      |
|    policy_gradient_loss | -0.0025    |
|    std                  | 0.49       |
|    value_loss           | 1.82       |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 91.8        |
|    ep_rew_mean          | 1.31        |
| time/                   |             |
|    fps                  | 1002        |
|    iterations           | 16          |
|    time_elapsed         | 130         |
|    total_timesteps      | 131072      |
| train/                  |             |
|    approx_kl            | 0.029239923 |
|    clip_fraction        | 0.266       |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.39       |
|    explained_variance   | 0.99        |
|    learning_rate        | 0.0003      |
|    loss                 | 8.53        |
|    n_updates            | 21830       |
|    policy_gradient_loss | -0.00431    |
|    std                  | 0.488       |
|    value_loss           | 3.86        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 80.4        |
|    ep_rew_mean          | 6.56        |
| time/                   |             |
|    fps                  | 996         |
|    iterations           | 17          |
|    time_elapsed         | 139         |
|    total_timesteps      | 139264      |
| train/                  |             |
|    approx_kl            | 0.022052616 |
|    clip_fraction        | 0.226       |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.38       |
|    explained_variance   | 0.996       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.159       |
|    n_updates            | 21840       |
|    policy_gradient_loss | -0.00435    |
|    std                  | 0.485       |
|    value_loss           | 1.33        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 103         |
|    ep_rew_mean          | -6.63       |
| time/                   |             |
|    fps                  | 998         |
|    iterations           | 18          |
|    time_elapsed         | 147         |
|    total_timesteps      | 147456      |
| train/                  |             |
|    approx_kl            | 0.026604567 |
|    clip_fraction        | 0.198       |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.37       |
|    explained_variance   | 0.987       |
|    learning_rate        | 0.0003      |
|    loss                 | 6.41        |
|    n_updates            | 21850       |
|    policy_gradient_loss | -0.00197    |
|    std                  | 0.485       |
|    value_loss           | 5.1         |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 109         |
|    ep_rew_mean          | -5.08       |
| time/                   |             |
|    fps                  | 995         |
|    iterations           | 19          |
|    time_elapsed         | 156         |
|    total_timesteps      | 155648      |
| train/                  |             |
|    approx_kl            | 0.025744105 |
|    clip_fraction        | 0.257       |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.35       |
|    explained_variance   | 0.996       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.0966      |
|    n_updates            | 21860       |
|    policy_gradient_loss | -0.000755   |
|    std                  | 0.481       |
|    value_loss           | 0.741       |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 132        |
|    ep_rew_mean          | -18.6      |
| time/                   |            |
|    fps                  | 995        |
|    iterations           | 20         |
|    time_elapsed         | 164        |
|    total_timesteps      | 163840     |
| train/                  |            |
|    approx_kl            | 0.02401847 |
|    clip_fraction        | 0.234      |
|    clip_range           | 0.2        |
|    entropy_loss         | -2.32      |
|    explained_variance   | 0.998      |
|    learning_rate        | 0.0003     |
|    loss                 | 0.151      |
|    n_updates            | 21870      |
|    policy_gradient_loss | -0.00266   |
|    std                  | 0.48       |
|    value_loss           | 0.491      |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 143         |
|    ep_rew_mean          | -22.8       |
| time/                   |             |
|    fps                  | 993         |
|    iterations           | 21          |
|    time_elapsed         | 173         |
|    total_timesteps      | 172032      |
| train/                  |             |
|    approx_kl            | 0.020575738 |
|    clip_fraction        | 0.175       |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.31       |
|    explained_variance   | 0.988       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.616       |
|    n_updates            | 21880       |
|    policy_gradient_loss | -0.002      |
|    std                  | 0.477       |
|    value_loss           | 2.88        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 144         |
|    ep_rew_mean          | -23.6       |
| time/                   |             |
|    fps                  | 992         |
|    iterations           | 22          |
|    time_elapsed         | 181         |
|    total_timesteps      | 180224      |
| train/                  |             |
|    approx_kl            | 0.014660726 |
|    clip_fraction        | 0.127       |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.32       |
|    explained_variance   | 0.971       |
|    learning_rate        | 0.0003      |
|    loss                 | 1.89        |
|    n_updates            | 21890       |
|    policy_gradient_loss | 0.00331     |
|    std                  | 0.484       |
|    value_loss           | 2.27        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 132         |
|    ep_rew_mean          | -15.1       |
| time/                   |             |
|    fps                  | 990         |
|    iterations           | 23          |
|    time_elapsed         | 190         |
|    total_timesteps      | 188416      |
| train/                  |             |
|    approx_kl            | 0.021422757 |
|    clip_fraction        | 0.173       |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.38       |
|    explained_variance   | 0.984       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.202       |
|    n_updates            | 21900       |
|    policy_gradient_loss | 0.000161    |
|    std                  | 0.489       |
|    value_loss           | 2.16        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 87.1        |
|    ep_rew_mean          | 4.59        |
| time/                   |             |
|    fps                  | 990         |
|    iterations           | 24          |
|    time_elapsed         | 198         |
|    total_timesteps      | 196608      |
| train/                  |             |
|    approx_kl            | 0.020450177 |
|    clip_fraction        | 0.207       |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.41       |
|    explained_variance   | 0.989       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.192       |
|    n_updates            | 21910       |
|    policy_gradient_loss | 0.00229     |
|    std                  | 0.493       |
|    value_loss           | 2.13        |
-----------------------------------------
[PeriodicArtifactCallback] step 200000: saving checkpoint, evaluating, rendering...
[PeriodicArtifactCallback] step 200000: success_rate=0.00 pick_success_rate=0.20 mean_reward=-227.62 -> C:\GitHub\HumanoidRobot\simulation\training\pick_place\runs\pp_v19\dashboard.html
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 103         |
|    ep_rew_mean          | -0.436      |
| time/                   |             |
|    fps                  | 933         |
|    iterations           | 25          |
|    time_elapsed         | 219         |
|    total_timesteps      | 204800      |
| train/                  |             |
|    approx_kl            | 0.023609564 |
|    clip_fraction        | 0.195       |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.44       |
|    explained_variance   | 0.988       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.584       |
|    n_updates            | 21920       |
|    policy_gradient_loss | -0.0032     |
|    std                  | 0.493       |
|    value_loss           | 2.63        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 103         |
|    ep_rew_mean          | -1.36       |
| time/                   |             |
|    fps                  | 934         |
|    iterations           | 26          |
|    time_elapsed         | 227         |
|    total_timesteps      | 212992      |
| train/                  |             |
|    approx_kl            | 0.021282377 |
|    clip_fraction        | 0.257       |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.42       |
|    explained_variance   | 0.996       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.268       |
|    n_updates            | 21930       |
|    policy_gradient_loss | -0.000392   |
|    std                  | 0.49        |
|    value_loss           | 0.721       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 120         |
|    ep_rew_mean          | -9.61       |
| time/                   |             |
|    fps                  | 934         |
|    iterations           | 27          |
|    time_elapsed         | 236         |
|    total_timesteps      | 221184      |
| train/                  |             |
|    approx_kl            | 0.022169076 |
|    clip_fraction        | 0.215       |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.42       |
|    explained_variance   | 0.991       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.496       |
|    n_updates            | 21940       |
|    policy_gradient_loss | -0.00376    |
|    std                  | 0.494       |
|    value_loss           | 2.52        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 131         |
|    ep_rew_mean          | -21.7       |
| time/                   |             |
|    fps                  | 935         |
|    iterations           | 28          |
|    time_elapsed         | 245         |
|    total_timesteps      | 229376      |
| train/                  |             |
|    approx_kl            | 0.011369794 |
|    clip_fraction        | 0.113       |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.43       |
|    explained_variance   | 0.972       |
|    learning_rate        | 0.0003      |
|    loss                 | 3.41        |
|    n_updates            | 21950       |
|    policy_gradient_loss | -0.00428    |
|    std                  | 0.493       |
|    value_loss           | 6.49        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 114         |
|    ep_rew_mean          | -11.3       |
| time/                   |             |
|    fps                  | 935         |
|    iterations           | 29          |
|    time_elapsed         | 253         |
|    total_timesteps      | 237568      |
| train/                  |             |
|    approx_kl            | 0.026408752 |
|    clip_fraction        | 0.256       |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.41       |
|    explained_variance   | 0.991       |
|    learning_rate        | 0.0003      |
|    loss                 | 7.42        |
|    n_updates            | 21960       |
|    policy_gradient_loss | 2.31e-05    |
|    std                  | 0.492       |
|    value_loss           | 3.94        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 138         |
|    ep_rew_mean          | -23.6       |
| time/                   |             |
|    fps                  | 937         |
|    iterations           | 30          |
|    time_elapsed         | 262         |
|    total_timesteps      | 245760      |
| train/                  |             |
|    approx_kl            | 0.026657317 |
|    clip_fraction        | 0.249       |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.38       |
|    explained_variance   | 0.988       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.222       |
|    n_updates            | 21970       |
|    policy_gradient_loss | -0.00198    |
|    std                  | 0.487       |
|    value_loss           | 3.41        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 91.4        |
|    ep_rew_mean          | -11.1       |
| time/                   |             |
|    fps                  | 942         |
|    iterations           | 31          |
|    time_elapsed         | 269         |
|    total_timesteps      | 253952      |
| train/                  |             |
|    approx_kl            | 0.035078257 |
|    clip_fraction        | 0.185       |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.36       |
|    explained_variance   | 0.972       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.6         |
|    n_updates            | 21980       |
|    policy_gradient_loss | -0.00994    |
|    std                  | 0.487       |
|    value_loss           | 3.3         |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 91.3        |
|    ep_rew_mean          | -1.66       |
| time/                   |             |
|    fps                  | 947         |
|    iterations           | 32          |
|    time_elapsed         | 276         |
|    total_timesteps      | 262144      |
| train/                  |             |
|    approx_kl            | 0.065436624 |
|    clip_fraction        | 0.227       |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.33       |
|    explained_variance   | 0.984       |
|    learning_rate        | 0.0003      |
|    loss                 | 1.79        |
|    n_updates            | 21990       |
|    policy_gradient_loss | -0.00735    |
|    std                  | 0.481       |
|    value_loss           | 2.96        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 108         |
|    ep_rew_mean          | -12         |
| time/                   |             |
|    fps                  | 947         |
|    iterations           | 33          |
|    time_elapsed         | 285         |
|    total_timesteps      | 270336      |
| train/                  |             |
|    approx_kl            | 0.028795656 |
|    clip_fraction        | 0.246       |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.3        |
|    explained_variance   | 0.992       |
|    learning_rate        | 0.0003      |
|    loss                 | 2.46        |
|    n_updates            | 22000       |
|    policy_gradient_loss | -0.00353    |
|    std                  | 0.482       |
|    value_loss           | 4.94        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 137         |
|    ep_rew_mean          | -21.4       |
| time/                   |             |
|    fps                  | 949         |
|    iterations           | 34          |
|    time_elapsed         | 293         |
|    total_timesteps      | 278528      |
| train/                  |             |
|    approx_kl            | 0.022582809 |
|    clip_fraction        | 0.218       |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.33       |
|    explained_variance   | 0.985       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.848       |
|    n_updates            | 22010       |
|    policy_gradient_loss | 0.00236     |
|    std                  | 0.485       |
|    value_loss           | 2.55        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 80          |
|    ep_rew_mean          | -1.12       |
| time/                   |             |
|    fps                  | 948         |
|    iterations           | 35          |
|    time_elapsed         | 302         |
|    total_timesteps      | 286720      |
| train/                  |             |
|    approx_kl            | 0.016740851 |
|    clip_fraction        | 0.178       |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.33       |
|    explained_variance   | 0.981       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.694       |
|    n_updates            | 22020       |
|    policy_gradient_loss | -0.000832   |
|    std                  | 0.483       |
|    value_loss           | 5.98        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 109         |
|    ep_rew_mean          | -6.56       |
| time/                   |             |
|    fps                  | 950         |
|    iterations           | 36          |
|    time_elapsed         | 310         |
|    total_timesteps      | 294912      |
| train/                  |             |
|    approx_kl            | 0.024017885 |
|    clip_fraction        | 0.243       |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.34       |
|    explained_variance   | 0.994       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.621       |
|    n_updates            | 22030       |
|    policy_gradient_loss | 0.000641    |
|    std                  | 0.486       |
|    value_loss           | 3.3         |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 138         |
|    ep_rew_mean          | -18         |
| time/                   |             |
|    fps                  | 950         |
|    iterations           | 37          |
|    time_elapsed         | 319         |
|    total_timesteps      | 303104      |
| train/                  |             |
|    approx_kl            | 0.025153529 |
|    clip_fraction        | 0.222       |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.37       |
|    explained_variance   | 0.992       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.958       |
|    n_updates            | 22040       |
|    policy_gradient_loss | -0.00715    |
|    std                  | 0.486       |
|    value_loss           | 2.86        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 132         |
|    ep_rew_mean          | -22.5       |
| time/                   |             |
|    fps                  | 951         |
|    iterations           | 38          |
|    time_elapsed         | 327         |
|    total_timesteps      | 311296      |
| train/                  |             |
|    approx_kl            | 0.025748767 |
|    clip_fraction        | 0.264       |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.35       |
|    explained_variance   | 0.994       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.108       |
|    n_updates            | 22050       |
|    policy_gradient_loss | -0.0012     |
|    std                  | 0.484       |
|    value_loss           | 1.03        |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 132        |
|    ep_rew_mean          | -28        |
| time/                   |            |
|    fps                  | 952        |
|    iterations           | 39         |
|    time_elapsed         | 335        |
|    total_timesteps      | 319488     |
| train/                  |            |
|    approx_kl            | 0.01556297 |
|    clip_fraction        | 0.186      |
|    clip_range           | 0.2        |
|    entropy_loss         | -2.35      |
|    explained_variance   | 0.99       |
|    learning_rate        | 0.0003     |
|    loss                 | 0.445      |
|    n_updates            | 22060      |
|    policy_gradient_loss | -0.00253   |
|    std                  | 0.485      |
|    value_loss           | 3.07       |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 97.1        |
|    ep_rew_mean          | -6.98       |
| time/                   |             |
|    fps                  | 952         |
|    iterations           | 40          |
|    time_elapsed         | 343         |
|    total_timesteps      | 327680      |
| train/                  |             |
|    approx_kl            | 0.017295394 |
|    clip_fraction        | 0.186       |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.36       |
|    explained_variance   | 0.99        |
|    learning_rate        | 0.0003      |
|    loss                 | 1.45        |
|    n_updates            | 22070       |
|    policy_gradient_loss | -0.000506   |
|    std                  | 0.488       |
|    value_loss           | 3.24        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 126         |
|    ep_rew_mean          | -21.5       |
| time/                   |             |
|    fps                  | 953         |
|    iterations           | 41          |
|    time_elapsed         | 352         |
|    total_timesteps      | 335872      |
| train/                  |             |
|    approx_kl            | 0.019532226 |
|    clip_fraction        | 0.234       |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.35       |
|    explained_variance   | 0.989       |
|    learning_rate        | 0.0003      |
|    loss                 | 2.58        |
|    n_updates            | 22080       |
|    policy_gradient_loss | -0.00272    |
|    std                  | 0.486       |
|    value_loss           | 4.42        |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 155        |
|    ep_rew_mean          | -29.4      |
| time/                   |            |
|    fps                  | 954        |
|    iterations           | 42         |
|    time_elapsed         | 360        |
|    total_timesteps      | 344064     |
| train/                  |            |
|    approx_kl            | 0.02871747 |
|    clip_fraction        | 0.251      |
|    clip_range           | 0.2        |
|    entropy_loss         | -2.34      |
|    explained_variance   | 0.99       |
|    learning_rate        | 0.0003     |
|    loss                 | 0.277      |
|    n_updates            | 22090      |
|    policy_gradient_loss | 0.00337    |
|    std                  | 0.487      |
|    value_loss           | 2.35       |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 132         |
|    ep_rew_mean          | -20.2       |
| time/                   |             |
|    fps                  | 954         |
|    iterations           | 43          |
|    time_elapsed         | 368         |
|    total_timesteps      | 352256      |
| train/                  |             |
|    approx_kl            | 0.017993955 |
|    clip_fraction        | 0.197       |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.35       |
|    explained_variance   | 0.989       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.0852      |
|    n_updates            | 22100       |
|    policy_gradient_loss | 0.00184     |
|    std                  | 0.487       |
|    value_loss           | 1.75        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 138         |
|    ep_rew_mean          | -22.6       |
| time/                   |             |
|    fps                  | 955         |
|    iterations           | 44          |
|    time_elapsed         | 377         |
|    total_timesteps      | 360448      |
| train/                  |             |
|    approx_kl            | 0.014744506 |
|    clip_fraction        | 0.146       |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.36       |
|    explained_variance   | 0.972       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.524       |
|    n_updates            | 22110       |
|    policy_gradient_loss | -0.00163    |
|    std                  | 0.491       |
|    value_loss           | 8.35        |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 138          |
