Continuing from checkpoint: C:/GitHub/HumanoidRobot/simulation/training/pick_place/runs/pp_v15/checkpoints/final.zip
Logging to C:\GitHub\HumanoidRobot\simulation\training\pick_place\runs\pp_v16\logs\pp_v16_1
---------------------------------
| rollout/           |          |
|    approx_kl            | 0.03179558 |
|    clip_fraction        | 0.25       |
|    clip_range           | 0.2        |
|    entropy_loss         | -1.62      |
|    explained_variance   | 0.929      |
|    learning_rate        | 0.0003     |
|    loss                 | 2.05       |
|    n_updates            | 17360      |
|    policy_gradient_loss | -0.0034    |
|    std                  | 0.405      |
|    value_loss           | 20         |
----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 126        |
|    ep_rew_mean          | -29        |
| time/                   |            |
|    fps                  | 1075       |
|    iterations           | 7          |
|    time_elapsed         | 53         |
|    total_timesteps      | 57344      |
| train/                  |            |
|    approx_kl            | 0.03972562 |
|    clip_fraction        | 0.3        |
|    clip_range           | 0.2        |
|    entropy_loss         | -1.61      |
|    explained_variance   | 0.956      |
|    learning_rate        | 0.0003     |
|    loss                 | 2.62       |
|    n_updates            | 17370      |
|    policy_gradient_loss | -0.00265   |
|    std                  | 0.402      |
|    value_loss           | 13         |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 136         |
|    ep_rew_mean          | -32.5       |
| time/                   |             |
|    fps                  | 1066        |
|    iterations           | 8           |
|    time_elapsed         | 61          |
|    total_timesteps      | 65536       |
| train/                  |             |
|    approx_kl            | 0.048625186 |
|    clip_fraction        | 0.304       |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.6        |
|    explained_variance   | 0.96        |
|    learning_rate        | 0.0003      |
|    loss                 | 1.61        |
|    n_updates            | 17380       |
|    policy_gradient_loss | -0.00261    |
|    std                  | 0.401       |
|    value_loss           | 16.2        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 169         |
|    ep_rew_mean          | -45.6       |
| time/                   |             |
|    fps                  | 1050        |
|    iterations           | 9           |
|    time_elapsed         | 70          |
|    total_timesteps      | 73728       |
| train/                  |             |
|    approx_kl            | 0.052416023 |
|    clip_fraction        | 0.329       |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.6        |
|    explained_variance   | 0.949       |
|    learning_rate        | 0.0003      |
|    loss                 | 1.84        |
|    n_updates            | 17390       |
|    policy_gradient_loss | -0.00096    |
|    std                  | 0.4         |
|    value_loss           | 10.7        |
-----------------------------------------
---------------------------------------
| rollout/                |           |
|    ep_len_mean          | 160       |
|    ep_rew_mean          | -54.1     |
| time/                   |           |
|    fps                  | 1042      |
|    iterations           | 10        |
|    time_elapsed         | 78        |
|    total_timesteps      | 81920     |
| train/                  |           |
|    approx_kl            | 0.5258818 |
|    clip_fraction        | 0.272     |
|    clip_range           | 0.2       |
|    entropy_loss         | -1.59     |
|    explained_variance   | 0.866     |
|    learning_rate        | 0.0003    |
|    loss                 | 2.42      |
|    n_updates            | 17400     |
|    policy_gradient_loss | -0.0147   |
|    std                  | 0.399     |
|    value_loss           | 6.83      |
---------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 138         |
|    ep_rew_mean          | -37.9       |
| time/                   |             |
|    fps                  | 1034        |
|    iterations           | 11          |
|    time_elapsed         | 87          |
|    total_timesteps      | 90112       |
| train/                  |             |
|    approx_kl            | 0.042388007 |
|    clip_fraction        | 0.307       |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.58       |
|    explained_variance   | 0.965       |
|    learning_rate        | 0.0003      |
|    loss                 | 1.15        |
|    n_updates            | 17410       |
|    policy_gradient_loss | 0.00815     |
|    std                  | 0.401       |
|    value_loss           | 8.62        |
-----------------------------------------
---------------------------------------
| rollout/                |           |
|    ep_len_mean          | 108       |
|    ep_rew_mean          | -32.1     |
| time/                   |           |
|    fps                  | 1032      |
|    iterations           | 12        |
|    time_elapsed         | 95        |
|    total_timesteps      | 98304     |
| train/                  |           |
|    approx_kl            | 0.1658307 |
|    clip_fraction        | 0.243     |
|    clip_range           | 0.2       |
|    entropy_loss         | -1.59     |
|    explained_variance   | 0.932     |
|    learning_rate        | 0.0003    |
|    loss                 | 15.8      |
|    n_updates            | 17420     |
|    policy_gradient_loss | 0.00313   |
|    std                  | 0.4       |
|    value_loss           | 15.2      |
---------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 84.5        |
|    ep_rew_mean          | -8.2        |
| time/                   |             |
|    fps                  | 1023        |
|    iterations           | 13          |
|    time_elapsed         | 104         |
|    total_timesteps      | 106496      |
| train/                  |             |
|    approx_kl            | 0.049401157 |
|    clip_fraction        | 0.274       |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.6        |
|    explained_variance   | 0.971       |
|    learning_rate        | 0.0003      |
|    loss                 | 1.34        |
|    n_updates            | 17430       |
|    policy_gradient_loss | -1.33e-05   |
|    std                  | 0.402       |
|    value_loss           | 9.19        |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 84.9       |
|    ep_rew_mean          | -5.7       |
| time/                   |            |
|    fps                  | 1020       |
|    iterations           | 14         |
|    time_elapsed         | 112        |
|    total_timesteps      | 114688     |
| train/                  |            |
|    approx_kl            | 0.04556551 |
|    clip_fraction        | 0.323      |
|    clip_range           | 0.2        |
|    entropy_loss         | -1.63      |
|    explained_variance   | 0.971      |
|    learning_rate        | 0.0003     |
|    loss                 | 12.2       |
|    n_updates            | 17440      |
|    policy_gradient_loss | -0.000278  |
|    std                  | 0.404      |
|    value_loss           | 13.1       |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 102         |
|    ep_rew_mean          | -23.2       |
| time/                   |             |
|    fps                  | 1016        |
|    iterations           | 15          |
|    time_elapsed         | 120         |
|    total_timesteps      | 122880      |
| train/                  |             |
|    approx_kl            | 0.038654912 |
|    clip_fraction        | 0.289       |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.63       |
|    explained_variance   | 0.969       |
|    learning_rate        | 0.0003      |
|    loss                 | 1.27        |
|    n_updates            | 17450       |
|    policy_gradient_loss | -0.00784    |
|    std                  | 0.4         |
|    value_loss           | 6.88        |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 125        |
|    ep_rew_mean          | -31.2      |
| time/                   |            |
|    fps                  | 1014       |
|    iterations           | 16         |
|    time_elapsed         | 129        |
|    total_timesteps      | 131072     |
| train/                  |            |
|    approx_kl            | 0.06925335 |
|    clip_fraction        | 0.276      |
|    clip_range           | 0.2        |
|    entropy_loss         | -1.64      |
|    explained_variance   | 0.907      |
|    learning_rate        | 0.0003     |
|    loss                 | 4.95       |
|    n_updates            | 17460      |
|    policy_gradient_loss | 0.00122    |
|    std                  | 0.404      |
|    value_loss           | 9.75       |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 108         |
|    ep_rew_mean          | -17.6       |
| time/                   |             |
|    fps                  | 1009        |
|    iterations           | 17          |
|    time_elapsed         | 137         |
|    total_timesteps      | 139264      |
| train/                  |             |
|    approx_kl            | 0.053516835 |
|    clip_fraction        | 0.309       |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.65       |
|    explained_variance   | 0.957       |
|    learning_rate        | 0.0003      |
|    loss                 | 22          |
|    n_updates            | 17470       |
|    policy_gradient_loss | -0.00528    |
|    std                  | 0.4         |
|    value_loss           | 12.9        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 108         |
|    ep_rew_mean          | -18.4       |
| time/                   |             |
|    fps                  | 1008        |
|    iterations           | 18          |
|    time_elapsed         | 146         |
|    total_timesteps      | 147456      |
| train/                  |             |
|    approx_kl            | 0.060259983 |
|    clip_fraction        | 0.317       |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.65       |
|    explained_variance   | 0.969       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.602       |
|    n_updates            | 17480       |
|    policy_gradient_loss | 0.00188     |
|    std                  | 0.403       |
|    value_loss           | 9.28        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 137         |
|    ep_rew_mean          | -32.5       |
| time/                   |             |
|    fps                  | 1004        |
|    iterations           | 19          |
|    time_elapsed         | 154         |
|    total_timesteps      | 155648      |
| train/                  |             |
|    approx_kl            | 0.035953052 |
|    clip_fraction        | 0.293       |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.66       |
|    explained_variance   | 0.97        |
|    learning_rate        | 0.0003      |
|    loss                 | 0.347       |
|    n_updates            | 17490       |
|    policy_gradient_loss | -0.00345    |
|    std                  | 0.403       |
|    value_loss           | 6.79        |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 89.8       |
|    ep_rew_mean          | -14.9      |
| time/                   |            |
|    fps                  | 1003       |
|    iterations           | 20         |
|    time_elapsed         | 163        |
|    total_timesteps      | 163840     |
| train/                  |            |
|    approx_kl            | 0.07867774 |
|    clip_fraction        | 0.268      |
|    clip_range           | 0.2        |
|    entropy_loss         | -1.67      |
|    explained_variance   | 0.948      |
|    learning_rate        | 0.0003     |
|    loss                 | 0.857      |
|    n_updates            | 17500      |
|    policy_gradient_loss | -0.0056    |
|    std                  | 0.404      |
|    value_loss           | 5.32       |
----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 119        |
|    ep_rew_mean          | -26.8      |
| time/                   |            |
|    fps                  | 1002       |
|    iterations           | 21         |
|    time_elapsed         | 171        |
|    total_timesteps      | 172032     |
| train/                  |            |
|    approx_kl            | 0.07287678 |
|    clip_fraction        | 0.311      |
|    clip_range           | 0.2        |
|    entropy_loss         | -1.67      |
|    explained_variance   | 0.989      |
|    learning_rate        | 0.0003     |
|    loss                 | 3.16       |
|    n_updates            | 17510      |
|    policy_gradient_loss | 0.000977   |
|    std                  | 0.402      |
|    value_loss           | 2.36       |
----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 137        |
|    ep_rew_mean          | -28        |
| time/                   |            |
|    fps                  | 999        |
|    iterations           | 22         |
|    time_elapsed         | 180        |
|    total_timesteps      | 180224     |
| train/                  |            |
|    approx_kl            | 0.11166185 |
|    clip_fraction        | 0.286      |
|    clip_range           | 0.2        |
|    entropy_loss         | -1.68      |
|    explained_variance   | 0.971      |
|    learning_rate        | 0.0003     |
|    loss                 | 0.557      |
|    n_updates            | 17520      |
|    policy_gradient_loss | -0.00498   |
|    std                  | 0.402      |
|    value_loss           | 7.62       |
----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 131        |
|    ep_rew_mean          | -29.2      |
| time/                   |            |
|    fps                  | 998        |
|    iterations           | 23         |
|    time_elapsed         | 188        |
|    total_timesteps      | 188416     |
| train/                  |            |
|    approx_kl            | 0.41062295 |
|    clip_fraction        | 0.289      |
|    clip_range           | 0.2        |
|    entropy_loss         | -1.66      |
|    explained_variance   | 0.981      |
|    learning_rate        | 0.0003     |
|    loss                 | 1.35       |
|    n_updates            | 17530      |
|    policy_gradient_loss | -0.00103   |
|    std                  | 0.398      |
|    value_loss           | 2.85       |
----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 126        |
|    ep_rew_mean          | -20.4      |
| time/                   |            |
|    fps                  | 996        |
|    iterations           | 24         |
|    time_elapsed         | 197        |
|    total_timesteps      | 196608     |
| train/                  |            |
|    approx_kl            | 0.03453713 |
|    clip_fraction        | 0.296      |
|    clip_range           | 0.2        |
|    entropy_loss         | -1.61      |
|    explained_variance   | 0.984      |
|    learning_rate        | 0.0003     |
|    loss                 | 0.686      |
|    n_updates            | 17540      |
|    policy_gradient_loss | 0.00394    |
|    std                  | 0.398      |
|    value_loss           | 2.25       |
----------------------------------------
[PeriodicArtifactCallback] step 200000: saving checkpoint, evaluating, rendering...
[PeriodicArtifactCallback] step 200000: success_rate=0.00 pick_success_rate=0.20 mean_reward=-257.48 -> C:\GitHub\HumanoidRobot\simulation\training\pick_place\runs\pp_v16\dashboard.html
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 132         |
|    ep_rew_mean          | -27.1       |
| time/                   |             |
|    fps                  | 937         |
|    iterations           | 25          |
|    time_elapsed         | 218         |
|    total_timesteps      | 204800      |
| train/                  |             |
|    approx_kl            | 0.038150825 |
|    clip_fraction        | 0.264       |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.63       |
|    explained_variance   | 0.98        |
|    learning_rate        | 0.0003      |
|    loss                 | 0.286       |
|    n_updates            | 17550       |
|    policy_gradient_loss | -0.00677    |
|    std                  | 0.397       |
|    value_loss           | 3.57        |
-----------------------------------------
---------------------------------------
| rollout/                |           |
|    ep_len_mean          | 124       |
|    ep_rew_mean          | -26.6     |
| time/                   |           |
|    fps                  | 938       |
|    iterations           | 26        |
|    time_elapsed         | 226       |
|    total_timesteps      | 212992    |
| train/                  |           |
|    approx_kl            | 0.1857707 |
|    clip_fraction        | 0.315     |
|    clip_range           | 0.2       |
|    entropy_loss         | -1.61     |
|    explained_variance   | 0.978     |
|    learning_rate        | 0.0003    |
|    loss                 | 15        |
|    n_updates            | 17560     |
|    policy_gradient_loss | -0.00395  |
|    std                  | 0.395     |
|    value_loss           | 3.27      |
---------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 96.5        |
|    ep_rew_mean          | -16.1       |
| time/                   |             |
|    fps                  | 939         |
|    iterations           | 27          |
|    time_elapsed         | 235         |
|    total_timesteps      | 221184      |
| train/                  |             |
|    approx_kl            | 0.040656064 |
|    clip_fraction        | 0.297       |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.6        |
|    explained_variance   | 0.984       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.545       |
|    n_updates            | 17570       |
|    policy_gradient_loss | 0.00399     |
|    std                  | 0.398       |
|    value_loss           | 3.12        |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 107        |
|    ep_rew_mean          | -21.6      |
| time/                   |            |
|    fps                  | 940        |
|    iterations           | 28         |
|    time_elapsed         | 243        |
|    total_timesteps      | 229376     |
| train/                  |            |
|    approx_kl            | 0.03225806 |
|    clip_fraction        | 0.231      |
|    clip_range           | 0.2        |
|    entropy_loss         | -1.62      |
|    explained_variance   | 0.97       |
|    learning_rate        | 0.0003     |
|    loss                 | 0.311      |
|    n_updates            | 17580      |
|    policy_gradient_loss | 0.00066    |
|    std                  | 0.396      |
|    value_loss           | 4.35       |
----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 119        |
|    ep_rew_mean          | -22.4      |
| time/                   |            |
|    fps                  | 941        |
|    iterations           | 29         |
|    time_elapsed         | 252        |
|    total_timesteps      | 237568     |
| train/                  |            |
|    approx_kl            | 0.51217103 |
|    clip_fraction        | 0.291      |
|    clip_range           | 0.2        |
|    entropy_loss         | -1.64      |
|    explained_variance   | 0.984      |
|    learning_rate        | 0.0003     |
|    loss                 | 0.296      |
|    n_updates            | 17590      |
|    policy_gradient_loss | 0.00956    |
|    std                  | 0.4        |
|    value_loss           | 2.38       |
----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 89.6       |
|    ep_rew_mean          | -6.84      |
| time/                   |            |
|    fps                  | 942        |
|    iterations           | 30         |
|    time_elapsed         | 260        |
|    total_timesteps      | 245760     |
| train/                  |            |
|    approx_kl            | 0.04358216 |
|    clip_fraction        | 0.298      |
|    clip_range           | 0.2        |
|    entropy_loss         | -1.69      |
|    explained_variance   | 0.992      |
|    learning_rate        | 0.0003     |
|    loss                 | 0.285      |
|    n_updates            | 17600      |
|    policy_gradient_loss | 0.00429    |
|    std                  | 0.405      |
|    value_loss           | 1.25       |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 101         |
|    ep_rew_mean          | -14.5       |
| time/                   |             |
|    fps                  | 943         |
|    iterations           | 31          |
|    time_elapsed         | 269         |
|    total_timesteps      | 253952      |
| train/                  |             |
|    approx_kl            | 0.033277713 |
|    clip_fraction        | 0.23        |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.7        |
|    explained_variance   | 0.987       |
|    learning_rate        | 0.0003      |
|    loss                 | 3.42        |
|    n_updates            | 17610       |
|    policy_gradient_loss | -0.00104    |
|    std                  | 0.404       |
|    value_loss           | 3.71        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 147         |
|    ep_rew_mean          | -32.8       |
| time/                   |             |
|    fps                  | 944         |
|    iterations           | 32          |
|    time_elapsed         | 277         |
|    total_timesteps      | 262144      |
| train/                  |             |
|    approx_kl            | 0.033045635 |
|    clip_fraction        | 0.268       |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.7        |
|    explained_variance   | 0.981       |
|    learning_rate        | 0.0003      |
|    loss                 | 2.44        |
|    n_updates            | 17620       |
|    policy_gradient_loss | -0.000199   |
|    std                  | 0.404       |
|    value_loss           | 5.8         |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 148         |
|    ep_rew_mean          | -28.9       |
| time/                   |             |
|    fps                  | 944         |
|    iterations           | 33          |
|    time_elapsed         | 286         |
|    total_timesteps      | 270336      |
| train/                  |             |
|    approx_kl            | 0.043263346 |
|    clip_fraction        | 0.286       |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.69       |
|    explained_variance   | 0.98        |
|    learning_rate        | 0.0003      |
|    loss                 | 1.5         |
|    n_updates            | 17630       |
|    policy_gradient_loss | 0.00586     |
|    std                  | 0.402       |
|    value_loss           | 5.45        |
-----------------------------------------
---------------------------------------
| rollout/                |           |
|    ep_len_mean          | 148       |
|    ep_rew_mean          | -29       |
| time/                   |           |
|    fps                  | 945       |
|    iterations           | 34        |
|    time_elapsed         | 294       |
|    total_timesteps      | 278528    |
| train/                  |           |
|    approx_kl            | 0.0299366 |
|    clip_fraction        | 0.255     |
|    clip_range           | 0.2       |
|    entropy_loss         | -1.68     |
|    explained_variance   | 0.978     |
|    learning_rate        | 0.0003    |
|    loss                 | 16        |
|    n_updates            | 17640     |
|    policy_gradient_loss | -0.00105  |
|    std                  | 0.4       |
|    value_loss           | 5.86      |
---------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 131         |
|    ep_rew_mean          | -26.4       |
| time/                   |             |
|    fps                  | 946         |
|    iterations           | 35          |
|    time_elapsed         | 302         |
|    total_timesteps      | 286720      |
| train/                  |             |
|    approx_kl            | 0.039195582 |
|    clip_fraction        | 0.207       |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.68       |
|    explained_variance   | 0.937       |
|    learning_rate        | 0.0003      |
|    loss                 | 2.97        |
|    n_updates            | 17650       |
|    policy_gradient_loss | -0.0028     |
|    std                  | 0.399       |
|    value_loss           | 7.05        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 107         |
|    ep_rew_mean          | -12.9       |
| time/                   |             |
|    fps                  | 947         |
|    iterations           | 36          |
|    time_elapsed         | 311         |
|    total_timesteps      | 294912      |
| train/                  |             |
|    approx_kl            | 0.044793375 |
|    clip_fraction        | 0.293       |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.68       |
|    explained_variance   | 0.986       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.858       |
|    n_updates            | 17660       |
|    policy_gradient_loss | 0.00141     |
|    std                  | 0.399       |
|    value_loss           | 3.55        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 119         |
|    ep_rew_mean          | -21.2       |
| time/                   |             |
|    fps                  | 947         |
|    iterations           | 37          |
|    time_elapsed         | 319         |
|    total_timesteps      | 303104      |
| train/                  |             |
|    approx_kl            | 0.021387322 |
|    clip_fraction        | 0.212       |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.69       |
|    explained_variance   | 0.947       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.324       |
|    n_updates            | 17670       |
|    policy_gradient_loss | 0.0171      |
|    std                  | 0.398       |
|    value_loss           | 5.15        |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 131        |
|    ep_rew_mean          | -28.7      |
| time/                   |            |
|    fps                  | 948        |
|    iterations           | 38         |
|    time_elapsed         | 328        |
|    total_timesteps      | 311296     |
| train/                  |            |
|    approx_kl            | 0.62136143 |
|    clip_fraction        | 0.264      |
|    clip_range           | 0.2        |
|    entropy_loss         | -1.71      |
|    explained_variance   | 0.974      |
|    learning_rate        | 0.0003     |
|    loss                 | 0.507      |
|    n_updates            | 17680      |
|    policy_gradient_loss | 0.00539    |
|    std                  | 0.401      |
|    value_loss           | 4.38       |
----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 132        |
|    ep_rew_mean          | -22.6      |
| time/                   |            |
|    fps                  | 948        |
|    iterations           | 39         |
|    time_elapsed         | 336        |
|    total_timesteps      | 319488     |
| train/                  |            |
|    approx_kl            | 0.03541394 |
|    clip_fraction        | 0.297      |
|    clip_range           | 0.2        |
|    entropy_loss         | -1.73      |
|    explained_variance   | 0.989      |
|    learning_rate        | 0.0003     |
|    loss                 | 0.209      |
|    n_updates            | 17690      |
|    policy_gradient_loss | 0.0131     |
|    std                  | 0.404      |
|    value_loss           | 2.45       |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 92.1        |
|    ep_rew_mean          | 1.74        |
| time/                   |             |
|    fps                  | 949         |
|    iterations           | 40          |
|    time_elapsed         | 345         |
|    total_timesteps      | 327680      |
| train/                  |             |
|    approx_kl            | 0.035899945 |
|    clip_fraction        | 0.291       |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.74       |
|    explained_variance   | 0.994       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.494       |
|    n_updates            | 17700       |
|    policy_gradient_loss | 0.00217     |
|    std                  | 0.402       |
|    value_loss           | 2.49        |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 109        |
|    ep_rew_mean          | -5.32      |
| time/                   |            |
|    fps                  | 949        |
|    iterations           | 41         |
|    time_elapsed         | 353        |
|    total_timesteps      | 335872     |
| train/                  |            |
|    approx_kl            | 0.03019061 |
|    clip_fraction        | 0.266      |
|    clip_range           | 0.2        |
|    entropy_loss         | -1.72      |
|    explained_variance   | 0.984      |
|    learning_rate        | 0.0003     |
|    loss                 | 0.102      |
|    n_updates            | 17710      |
|    policy_gradient_loss | 0.000143   |
|    std                  | 0.401      |
|    value_loss           | 2.53       |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 109         |
|    ep_rew_mean          | -5.74       |
| time/                   |             |
|    fps                  | 950         |
|    iterations           | 42          |
|    time_elapsed         | 361         |
|    total_timesteps      | 344064      |
| train/                  |             |
|    approx_kl            | 0.037153333 |
|    clip_fraction        | 0.271       |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.7        |
|    explained_variance   | 0.988       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.372       |
|    n_updates            | 17720       |
|    policy_gradient_loss | 0.0019      |
|    std                  | 0.4         |
|    value_loss           | 3.51        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 108         |
|    ep_rew_mean          | -10.6       |
| time/                   |             |
|    fps                  | 950         |
|    iterations           | 43          |
|    time_elapsed         | 370         |
|    total_timesteps      | 352256      |
| train/                  |             |
|    approx_kl            | 0.028594524 |
|    clip_fraction        | 0.263       |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.71       |
|    explained_variance   | 0.995       |
|    learning_rate        | 0.0003      |
|    loss                 | 1.03        |
|    n_updates            | 17730       |
|    policy_gradient_loss | 0.00112     |
|    std                  | 0.402       |
|    value_loss           | 2.37        |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 132        |
|    ep_rew_mean          | -25.1      |
| time/                   |            |
|    fps                  | 951        |
|    iterations           | 44         |
|    time_elapsed         | 378        |
|    total_timesteps      | 360448     |
| train/                  |            |
|    approx_kl            | 0.21153721 |
|    clip_fraction        | 0.21       |
|    clip_range           | 0.2        |
|    entropy_loss         | -1.71      |
|    explained_variance   | 0.982      |
|    learning_rate        | 0.0003     |
|    loss                 | 1.39       |
|    n_updates            | 17740      |
|    policy_gradient_loss | -0.0104    |
|    std                  | 0.401      |
|    value_loss           | 4.32       |
----------------------------------------
---------------------------------------
| rollout/                |           |
|    ep_len_mean          | 149       |
|    ep_rew_mean          | -25.6     |
| time/                   |           |
|    fps                  | 951       |
|    iterations           | 45        |
|    time_elapsed         | 387       |
